IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
869361,1483879,2889589,5614445,5832297,4022085,1368801,1307607,PE
898613,1528067,2946365,5583671,6221413,4292211,1351531,1251505,PE
976119,1658999,2891831,5275695,5463209,3833907,1327015,992213,PE
871969,1490323,2614357,5688513,5532111,3727359,1454471,1211693,PE
1367857,2395733,3976695,5801291,6246563,3182151,1532175,936857,PE
894919,1462319,2788107,5520759,6225595,4437313,1629945,1184697,PE
906133,1545077,2716367,5277059,5326185,3666957,1268523,928721,PE
1134479,2024143,3424007,5843373,5903649,3494015,1561473,948841,PE
962371,1646807,2886951,5284111,5402917,3778571,1333959,946703,PE
891185,1417615,2535043,4975629,6137685,4298393,1362691,1101733,PE
871335,1616961,2981605,4347955,3973165,2462813,1239489,813407,PE
1014493,1733079,2967987,5366049,5595339,3805259,1382153,1025021,PE
1473349,2528719,4392079,6779537,6474413,3022231,1519969,901875,PE
925957,1718551,3164321,5113279,5951797,3529059,1399667,861345,PE
1365153,2405241,4044733,5840927,6180661,3298037,1631709,953755,PE
1176119,2166373,3504409,5118335,5393629,2986741,1545577,924299,PE
1029685,1875561,3180855,5061033,4481479,2578909,1218469,799319,PE
1038937,1886735,3172003,5185737,5207211,2985253,1215727,742275,PE
1039413,1767453,3030183,5396719,5524783,3797779,1372451,1005311,PE
1214433,2115779,3487363,5678719,5546239,3423505,1486733,1029863,PE
1008349,1730301,2917335,4987627,5075295,3396491,1338673,973201,PE
954805,1600067,2728715,4865255,5198863,3673471,1316489,1005995,PE
1001953,1718299,2947061,5249163,5345929,3733331,1369377,960615,PE
1051385,1788765,3021939,5552219,5736837,3667471,1360611,977225,PE
1324147,2309699,3910583,6266845,6630967,3951607,1762351,1152245,PE
1006411,1710121,3016115,5433499,5301181,3539259,1302891,970625,PE
1344265,2300673,3855597,5926753,6104713,2974653,1450499,860303,PE
545041,943371,1549715,2078781,1612091,992383,713565,589597,PE
559085,905601,1216261,2784019,3536619,2139863,955919,690603,PE
1338549,2322969,3931675,6431743,6643275,4058661,1779059,1140109,PE
1390885,2404253,4083357,5908733,6274375,3492883,1596985,928109,PE
1474067,2448443,4047545,5526485,5820765,3088011,1539927,942397,PE
1505609,2518805,4140693,5666933,5607129,2840589,1495917,974551,PE
958323,1613425,2977113,5870479,5784123,3154821,1229499,993675,PE
1446609,2449355,4052293,5605031,5905155,3218523,1610217,1002693,PE
841431,1420345,2638353,5760897,6190127,3708335,1395019,1256729,PE
851563,1434843,2971477,5453353,5736465,4214667,1419501,1309997,PE
970695,1648535,2896231,5270735,5223511,3754039,1299261,975819,PE
832895,1515375,2871771,6163747,5905783,4584885,1481413,1269725,PE
1647563,2943563,4895361,8239535,7946479,4460603,2158407,1158681,PE
908375,1562747,2759067,5057689,5002483,3252943,1285437,988271,PE
1066823,1794539,3056407,5241851,5593989,3885795,1431861,1132609,PE
1534709,2654239,4373685,7055651,6966701,4194429,1828319,1181327,PE
960229,1515691,3319533,5623449,5780315,4482653,1353925,1210567,PE
1009673,1667703,3165669,5378227,6274925,3974911,1446693,1302011,PE
1021621,1773805,3093381,6415103,5774751,3646943,1511397,1186867,PE
1042609,1742221,2901653,4838575,5241493,4154935,1468057,1027909,PE
1370457,2362305,3958213,6641849,5926145,3447009,1643399,1122455,PE
1712099,3033169,5017691,8039599,7826177,4487429,2145011,1269313,PE
1241367,2112383,3523435,5704965,5842003,3794519,1488429,1101813,PE
1080971,1813463,3160597,5543207,5494573,3892727,1375711,1143911,PE
